"tick","numAdopt","deviance","remainBgt","captured","seeded","systemCost","realAdopt","IctSerNo","nullDev","rate"
0.0,72.0,0.0,335859.0,72.0,0.0,0.0,72.0,0.0,0.0,2.5
1.0,74.0,23.374303526061652,335859.0,72.0,0.0,17549.131585090523,73.0,0.0,22.691008711947138,0.35
2.0,76.0,114.8575373994561,335859.0,72.0,0.0,17410.08413106082,78.0,0.0,112.35077178960212,0.35
3.0,78.0,192.97603296966955,335859.0,72.0,0.0,17289.111932746888,82.0,0.0,185.26718923301993,0.35
4.0,80.0,250.23492645132058,335859.0,72.0,0.0,17164.93444920202,85.0,0.0,241.44026104197422,0.35
5.0,83.0,272.2730439310211,335859.0,72.0,0.0,17040.70175985042,86.0,0.0,264.1275672166467,0.35
6.0,86.0,294.1242426952589,335859.0,72.0,0.0,16877.041669912054,87.0,0.0,286.8134849398965,0.35
7.0,89.0,367.64506720478704,335859.0,72.0,0.0,16717.582736054872,91.0,0.0,359.72527421172373,0.35
8.0,91.0,443.1978178655009,335859.0,72.0,0.0,16555.804659498168,95.0,0.0,432.63567503212823,0.25
9.0,93.0,480.8661155711649,335859.0,72.0,0.0,16463.508961970136,97.0,0.0,472.06031021825095,0.25
10.0,95.0,520.9495266279665,335859.0,72.0,0.0,16371.207014809059,99.0,0.0,511.4840197700919,0.25
11.0,98.0,579.8297323580126,335859.0,72.0,0.0,16277.902471349533,102.0,0.0,567.6492236883169,0.25
12.0,101.0,638.7032748022361,335859.0,72.0,0.0,16130.411883967563,105.0,0.0,623.8130391551823,0.25
13.0,104.0,677.049818504838,335859.0,72.0,0.0,15982.387567272424,107.0,0.0,663.233046170625,0.25
14.0,106.0,732.3805240954395,335859.0,72.0,0.0,15834.842967470118,110.0,0.0,719.3940847346448,0.25
15.0,108.0,787.5409826889849,335859.0,72.0,0.0,15706.433954903661,113.0,0.0,775.5541976643827,0.25
16.0,110.0,861.516195776062,335859.0,72.0,0.0,15576.960436987902,117.0,0.0,848.4558049598387,0.25
17.0,113.0,885.8093645566701,335859.0,72.0,0.0,15444.224945363752,118.0,0.0,871.129226621013,0.25
18.0,116.0,993.6569007201674,335859.0,72.0,0.0,15269.127332344397,124.0,0.0,977.5133598307641,0.25
19.0,119.0,1119.330097008822,335859.0,72.0,0.0,15094.96720287372,131.0,0.0,1100.6385245890929,0.2
20.0,121.0,1213.6600684632406,335859.0,72.0,0.0,14919.787722586658,136.0,0.0,1190.277460895999,0.2
21.0,123.0,1271.3134625677258,335859.0,72.0,0.0,14820.045461646569,139.0,0.0,1246.430631568623,0.2
22.0,125.0,1274.703304781436,335859.0,72.0,0.0,14719.13046875003,139.0,0.0,1252.3556166069652,0.2
