"tick","numAdopt","deviance","remainBgt","captured","seeded","systemCost","realAdopt","IctSerNo","nullDev","rate"
0.0,72.0,0.0,335859.0,72.0,0.0,0.0,72.0,0.0,0.0,2.5
1.0,74.0,23.374303526061652,335859.0,72.0,0.0,17549.254221461484,73.0,0.0,22.691008711947138,0.35
2.0,76.0,114.85729631612614,335859.0,72.0,0.0,17409.479726048736,78.0,0.0,112.35077178960212,0.35
3.0,78.0,193.00328326907416,335859.0,72.0,0.0,17288.189071378554,82.0,0.0,185.26718923301993,0.35
4.0,80.0,250.26658070837152,335859.0,72.0,0.0,17166.1365511873,85.0,0.0,241.44026104197422,0.35
5.0,83.0,272.3351855143849,335859.0,72.0,0.0,17041.90546643816,86.0,0.0,264.1275672166467,0.35
6.0,86.0,294.20353592450334,335859.0,72.0,0.0,16877.298932938607,87.0,0.0,286.8134849398965,0.35
7.0,89.0,367.7217831867129,335859.0,72.0,0.0,16717.084761607926,91.0,0.0,359.72527421172373,0.35
8.0,91.0,443.2529621064969,335859.0,72.0,0.0,16555.725806451574,95.0,0.0,432.63567503212823,0.25
9.0,93.0,480.98920002887104,335859.0,72.0,0.0,16461.945370947626,97.0,0.0,472.06031021825095,0.25
10.0,95.0,521.1020424623646,335859.0,72.0,0.0,16369.52431800473,99.0,0.0,511.4840197700919,0.25
11.0,97.0,579.9524347225095,335859.0,72.0,0.0,16277.233083878968,102.0,0.0,567.6492236883169,0.25
12.0,100.0,638.8341640796298,335859.0,72.0,0.0,16129.750955165644,105.0,0.0,623.8135019723233,0.25
13.0,102.0,677.1973892333186,335859.0,72.0,0.0,15981.025189113365,107.0,0.0,663.2339718049069,0.25
14.0,104.0,732.4833881231181,335859.0,72.0,0.0,15832.418454098779,110.0,0.0,719.3959360032086,0.25
15.0,106.0,787.6453967611753,335859.0,72.0,0.0,15702.813557999829,113.0,0.0,775.5569745672284,0.25
16.0,108.0,861.5834650036338,335859.0,72.0,0.0,15572.150191152326,117.0,0.0,848.4595074969662,0.25
17.0,111.0,885.858990968251,335859.0,72.0,0.0,15438.497658810591,118.0,0.0,871.1338547924224,0.25
18.0,114.0,993.7266568913409,335859.0,72.0,0.0,15264.464210444214,124.0,0.0,977.5189136364554,0.25
19.0,117.0,1119.5782902092328,335859.0,72.0,0.0,15092.430199875083,131.0,0.0,1100.645004029066,0.2
20.0,119.0,1213.9478954216538,335859.0,72.0,0.0,14919.394736842047,136.0,0.0,1190.284865970254,0.2
21.0,121.0,1271.647796669905,335859.0,72.0,0.0,14820.42158700406,139.0,0.0,1246.43896227716,0.2
22.0,123.0,1275.0267254012886,335859.0,72.0,0.0,14719.627401968493,139.0,0.0,1252.364872949784,0.2
