"tick","numAdopt","deviance","remainBgt","captured","seeded","systemCost","realAdopt","IctSerNo","nullDev","rate"
0.0,0.0,0.0,335859.0,0.0,0.0,0.0,0.0,2.0,0.0,1.5
1.0,1.0,20.602717702312823,335859.0,0.0,0.0,22542.43639740015,1.0,2.0,22.72433154609165,1.5
2.0,2.0,22.11872400979234,335859.0,0.0,0.0,22494.694885088564,1.0,2.0,28.70578027503183,1.5
3.0,3.0,23.651368878840728,335859.0,0.0,0.0,22445.881287726377,1.0,2.0,34.68676618685174,1.5
4.0,4.0,25.674192806306493,335859.0,0.0,0.0,22397.069654051535,1.0,2.0,40.66728928155604,1.5
5.0,5.0,27.671841043979295,335859.0,0.0,0.0,22331.2686532507,1.0,2.0,46.647349559119434,1.5
6.0,6.0,50.11410377400645,335859.0,0.0,0.0,22267.594705472686,2.0,2.0,69.36936701954193,1.5
7.0,7.0,51.22804656790642,335859.0,0.0,0.0,22202.859420962883,2.0,2.0,75.34850166282352,1.32
8.0,8.0,73.6956172479903,335859.0,0.0,0.0,22166.801579313982,3.0,2.0,98.06959348896422,1.32
9.0,9.0,96.14080694302075,335859.0,0.0,0.0,22089.30466088576,4.0,2.0,120.79022249796401,1.32
10.0,11.0,117.16758707023483,335859.0,0.0,0.0,22011.88872541429,5.0,2.0,143.510388689821,1.32
11.0,13.0,120.99416014575478,335859.0,0.0,0.0,21889.719795539135,5.0,2.0,149.4872092472146,1.32
12.0,15.0,124.79855291422467,335859.0,0.0,0.0,21766.61494965144,5.0,2.0,155.4631041703264,1.16
13.0,17.0,165.02875861555611,335859.0,0.0,0.0,21644.57220328482,7.0,2.0,194.92291345915646,1.16
14.0,19.0,185.898770619557,335859.0,0.0,0.0,21538.468541763556,8.0,2.0,217.63937711370474,1.16
15.0,21.0,189.27649168101686,335859.0,0.0,0.0,21431.294714817104,8.0,2.0,223.61249513397124,1.16
16.0,23.0,227.6002637222622,335859.0,0.0,0.0,21323.064098589355,10.0,2.0,263.069527519956,1.16
17.0,25.0,267.7912722760073,335859.0,0.0,0.0,21179.34472868198,12.0,2.0,302.52563427165893,1.16
18.0,27.0,289.1376604236373,335859.0,0.0,0.0,21037.002170879314,13.0,2.0,325.2383953890801,1.16
19.0,28.0,311.6299506029544,335859.0,0.0,0.0,20894.71458478722,14.0,2.0,347.9502308722195,1.03
20.0,29.0,314.3510791822662,335859.0,1.0,0.0,20812.966346153797,14.0,2.0,353.919183538218,1.03
21.0,30.0,317.0488213083002,335859.0,1.0,0.0,20725.918417991554,14.0,2.0,359.88767338707567,1.03
22.0,32.0,357.2262447634103,335859.0,1.0,0.0,20638.17009229805,16.0,2.0,399.34054041879244,1.03
23.0,34.0,380.4609960369089,335859.0,1.0,0.0,20501.25420836245,17.0,2.0,422.05006181622747,1.03
24.0,36.0,403.59554198978435,335859.0,1.0,0.0,20363.276359686584,18.0,2.0,444.7586575793807,1.03
25.0,38.0,482.24669250162685,335859.0,1.0,0.0,20226.236051835298,22.0,2.0,517.6935877082587,1.03
26.0,40.0,503.2909932680162,335859.0,1.0,0.0,20106.32378734971,23.0,2.0,540.4003322035809,0.9
27.0,42.0,560.763555524837,335859.0,1.0,0.0,19984.15501047887,26.0,2.0,596.590991064621,0.9
28.0,45.0,634.4925805006809,335859.0,1.0,0.0,19859.922826086902,30.0,2.0,669.5231442913791,0.9
29.0,47.0,689.0775667829984,335859.0,1.0,0.0,19696.443003571967,33.0,2.0,725.7114890667145,0.9
30.0,50.0,748.0254672760586,335859.0,1.0,0.0,19536.219728155298,36.0,2.0,781.898908207768,0.9
31.0,51.0,768.4073976368018,335859.0,1.0,0.0,19374.81497592053,37.0,2.0,804.6000988973989,0.9
32.0,52.0,806.8863112366425,335859.0,1.0,0.0,19282.44806960303,39.0,2.0,844.0432467698887,0.9
33.0,54.0,847.2123873300292,335859.0,1.0,0.0,19190.15616502218,41.0,2.0,883.4859318252376,0.9
34.0,56.0,919.4268548581281,335859.0,1.0,0.0,19097.731680783174,45.0,2.0,956.4125312463044,0.8
35.0,58.0,993.4636796324647,335859.0,1.0,0.0,18953.37219243018,49.0,2.0,1029.3382050330895,0.8
36.0,60.0,1067.4788929698543,335859.0,1.0,0.0,18806.90291488528,53.0,2.0,1102.262953185593,0.8
37.0,62.0,1071.409873874341,335859.0,1.0,0.0,18661.49070978773,53.0,2.0,1108.2170957038145,0.8
38.0,64.0,1109.6848035391881,335859.0,1.0,0.0,18535.192753285173,55.0,2.0,1147.6551525877542,0.8
39.0,66.0,1113.7634867297352,335859.0,1.0,0.0,18406.468232366467,55.0,2.0,1153.607443837412,0.8
40.0,69.0,1135.7237411505225,335859.0,1.0,0.0,18274.80880522709,56.0,2.0,1176.3012294527878,0.8
41.0,72.0,1259.1061536306524,335859.0,1.0,0.0,18101.284680619272,63.0,2.0,1299.448146616741,0.7
42.0,75.0,1281.022180072292,335859.0,1.0,0.0,17931.493618677134,64.0,2.0,1322.1391553292713,0.7
43.0,77.0,1301.822721540831,335859.0,1.0,0.0,17761.651074097113,65.0,2.0,1344.8287755903787,0.7
44.0,79.0,1304.8951210689654,335859.0,1.0,0.0,17662.976724272048,65.0,2.0,1350.7750502172041,0.7
45.0,81.0,1307.9351725449317,335859.0,1.0,0.0,17564.185611959052,65.0,2.0,1356.7203992097477,0.7
46.0,83.0,1362.7675078660777,335859.0,1.0,0.0,17466.582853138123,68.0,2.0,1412.8920825680095,0.7
47.0,85.0,1434.6618293924173,335859.0,1.0,0.0,17311.482554517104,72.0,2.0,1485.8052602919895,0.7
48.0,88.0,1458.0977721413906,335859.0,2.0,0.0,17154.445976474293,73.0,2.0,1508.4902523816875,0.7
49.0,90.0,1549.561105760374,335859.0,2.0,0.0,16996.903544994206,78.0,2.0,1598.1435360199628,0.7
50.0,92.0,1627.5385868296642,335859.0,2.0,0.0,16861.05602742931,82.0,2.0,1671.0534740239561,0.7
51.0,94.0,1684.7911096327987,335859.0,2.0,0.0,16723.079884654402,85.0,2.0,1727.2200663936676,0.7
52.0,97.0,1707.0006664895664,335859.0,2.0,0.0,16580.91331462428,86.0,2.0,1749.900893129097,0.62
53.0,100.0,1729.0820875746138,335859.0,2.0,0.0,16395.18908382067,87.0,2.0,1772.5803314131037,0.62
54.0,103.0,1802.4232210420264,335859.0,2.0,0.0,16212.647402901202,91.0,2.0,1845.4856412456877,0.62
55.0,105.0,1877.8118762903473,335859.0,2.0,0.0,16028.98104524183,95.0,2.0,1918.3895626268488,0.62
56.0,107.0,1915.5476696464839,335859.0,2.0,0.0,15924.995475113135,97.0,2.0,1957.807718373728,0.62
57.0,109.0,1955.536289431648,335859.0,2.0,0.0,15819.940387016239,99.0,2.0,1997.2249484863253,0.62
58.0,112.0,2014.3542365124501,335859.0,2.0,0.0,15713.589869663587,102.0,2.0,2053.3836729646405,0.62
59.0,115.0,2073.0195773622504,335859.0,2.0,0.0,15548.04426229502,105.0,2.0,2109.541008991533,0.62
60.0,118.0,2111.5280092000635,335859.0,2.0,0.0,15378.886858749094,107.0,2.0,2148.954536567003,0.62
61.0,120.0,2150.0108204808503,335859.0,2.0,0.0,15210.115657946186,110.0,2.0,2188.3666756910497,0.62
62.0,122.0,2188.3053887592923,335859.0,2.0,0.0,15062.281418417575,113.0,2.0,2227.777889180815,0.54
63.0,124.0,2262.2010549559022,335859.0,2.0,0.0,14913.684634012941,117.0,2.0,2300.673017036298,0.54
64.0,127.0,2286.7699949464113,335859.0,3.0,0.0,14761.96444756995,118.0,2.0,2323.3399592574992,0.54
65.0,130.0,2394.3309730758674,335859.0,3.0,0.0,14560.93771004301,124.0,2.0,2429.717613027278,0.54
66.0,133.0,2519.8703876075783,335859.0,3.0,0.0,14363.53994684181,131.0,2.0,2552.8362983456336,0.54
67.0,135.0,2596.3360464021152,335859.0,3.0,0.0,14163.946364347048,136.0,2.0,2625.7263352125665,0.54
68.0,137.0,2653.7132134860076,335859.0,3.0,0.0,14050.396778229615,139.0,2.0,2681.8730264452174,0.54
69.0,139.0,2657.257691827223,335859.0,3.0,0.0,13935.79266385113,139.0,2.0,2687.7915320435864,0.54
