"tick","numAdopt","deviance","remainBgt","captured","seeded","systemCost","realAdopt","IctSerNo","nullDev","rate"
0.0,72.0,0.0,335859.0,72.0,0.0,0.0,72.0,0.0,0.0,2.5
1.0,74.0,23.374303526061652,335859.0,72.0,0.0,17549.25134230801,73.0,0.0,22.691008711947138,0.35
2.0,76.0,114.85729574233113,335859.0,72.0,0.0,17410.20102731732,78.0,0.0,112.35077178960212,0.35
3.0,78.0,192.98487628874398,335859.0,72.0,0.0,17288.91499961084,82.0,0.0,185.26718923301993,0.35
4.0,80.0,250.22908693884906,335859.0,72.0,0.0,17165.806617360777,85.0,0.0,241.44026104197422,0.35
5.0,83.0,272.3124181996216,335859.0,72.0,0.0,17041.39168353834,86.0,0.0,264.1275672166467,0.35
6.0,86.0,294.1940070179038,335859.0,72.0,0.0,16876.911441701064,87.0,0.0,286.8134849398965,0.35
7.0,89.0,367.6986620282862,335859.0,72.0,0.0,16715.391788719277,91.0,0.0,359.72527421172373,0.35
8.0,91.0,443.2168149315255,335859.0,72.0,0.0,16552.96844319781,95.0,0.0,432.63567503212823,0.25
9.0,93.0,480.88078031474333,335859.0,72.0,0.0,16460.68149937661,97.0,0.0,472.06031021825095,0.25
10.0,95.0,520.985694721638,335859.0,72.0,0.0,16367.316601714749,99.0,0.0,511.4840197700919,0.25
11.0,98.0,579.8542640253976,335859.0,72.0,0.0,16274.032587510781,102.0,0.0,567.6492236883169,0.25
12.0,101.0,638.6915268772414,335859.0,72.0,0.0,16126.418356207107,105.0,0.0,623.8130391551823,0.25
13.0,104.0,677.0532634737849,335859.0,72.0,0.0,15977.646049450166,107.0,0.0,663.233046170625,0.25
14.0,106.0,732.3581020695879,335859.0,72.0,0.0,15828.926203291949,110.0,0.0,719.3940847346448,0.25
15.0,108.0,787.5373507953371,335859.0,72.0,0.0,15699.450339392997,113.0,0.0,775.5541976643827,0.25
16.0,110.0,861.4536829848986,335859.0,72.0,0.0,15568.785641825962,117.0,0.0,848.4558049598387,0.25
17.0,113.0,885.7680024219463,335859.0,72.0,0.0,15434.99445832034,118.0,0.0,871.129226621013,0.25
18.0,116.0,993.6098485854076,335859.0,72.0,0.0,15259.77406511045,124.0,0.0,977.5133598307641,0.25
19.0,119.0,1119.4752957218807,335859.0,72.0,0.0,15086.386069030135,131.0,0.0,1100.6385245890929,0.2
20.0,121.0,1213.813087505477,335859.0,72.0,0.0,14912.292642924103,136.0,0.0,1190.277460895999,0.2
21.0,123.0,1271.5097683051995,335859.0,72.0,0.0,14812.557178565838,139.0,0.0,1246.430631568623,0.2
22.0,125.0,1274.907262239802,335859.0,72.0,0.0,14711.757343749994,139.0,0.0,1252.3556166069652,0.2
