"tick","numAdopt","deviance","remainBgt","captured","seeded","systemCost","realAdopt","IctSerNo","nullDev","rate"
0.0,72.0,0.0,335859.0,72.0,0.0,0.0,72.0,0.0,0.0,2.5
1.0,75.0,22.044571800978893,335859.0,72.0,0.0,25188.572762646018,73.0,0.0,22.691008711947138,0.35
2.0,77.0,111.44938937621842,335859.0,72.0,0.0,25030.555105853055,78.0,0.0,112.35030897246122,0.35
3.0,79.0,180.08389624604905,335859.0,72.0,0.0,24893.26996730493,82.0,0.0,185.2662635987381,0.35
4.0,82.0,234.79274667537288,335859.0,72.0,0.0,24748.013236782685,85.0,0.0,241.4388725905515,0.35
5.0,86.0,260.28503305173047,335859.0,72.0,0.0,24590.305709167387,86.0,0.0,264.1252531309422,0.35
6.0,89.0,281.9876357286196,335859.0,72.0,0.0,24369.280617014774,87.0,0.0,286.80978240276943,0.35
7.0,92.0,353.17569742618275,335859.0,72.0,0.0,24175.241642640016,91.0,0.0,359.72018322317393,0.25
8.0,94.0,426.93390348984997,335859.0,72.0,0.0,23992.862208713235,95.0,0.0,432.6291955921557,0.25
9.0,96.0,464.6152830664102,335859.0,72.0,0.0,23885.72990880039,97.0,0.0,472.05244232685584,0.25
10.0,98.0,502.21656283081984,335859.0,72.0,0.0,23771.215950728983,99.0,0.0,511.4747634272742,0.25
11.0,101.0,557.2909909064131,335859.0,72.0,0.0,23667.22988147225,102.0,0.0,567.6385788940752,0.25
12.0,104.0,611.8811247807298,335859.0,72.0,0.0,23496.912331331325,105.0,0.0,623.8010059095178,0.25
13.0,107.0,649.9068536506912,335859.0,72.0,0.0,23330.24059915747,107.0,0.0,663.2196244735377,0.25
14.0,109.0,707.2921714014333,335859.0,72.0,0.0,23160.563982521853,110.0,0.0,719.3792745861347,0.25
15.0,112.0,761.6060817708467,335859.0,72.0,0.0,23015.990244283228,113.0,0.0,775.5379990644498,0.25
16.0,115.0,832.4503519498152,335859.0,72.0,0.0,22863.17049180319,117.0,0.0,848.437755091342,0.25
17.0,119.0,856.0826133425893,335859.0,72.0,0.0,22693.81430579407,118.0,0.0,871.1088626668115,0.2
18.0,123.0,958.1190349423129,335859.0,72.0,0.0,22458.579753163576,124.0,0.0,977.490218973717,0.2
19.0,126.0,1075.3887806423736,335859.0,72.0,0.0,22248.152121259485,131.0,0.0,1100.6121440120592,0.2
20.0,128.0,1165.7142908889987,335859.0,72.0,0.0,22048.94514339303,136.0,0.0,1190.2478405989787,0.2
21.0,130.0,1225.1170520469852,335859.0,72.0,0.0,21931.1814771395,139.0,0.0,1246.3977715516162,0.2
22.0,132.0,1229.0277014078317,335859.0,72.0,0.0,21801.189400453346,139.0,0.0,1252.3195168699717,0.2
