"tick","numAdopt","deviance","remainBgt","captured","seeded","systemCost","realAdopt","IctSerNo","nullDev","rate"
0.0,92.0,0.0,335859.0,92.0,0.0,0.0,92.0,0.0,0.0,2.5
1.0,95.0,40.25479512175433,335859.0,92.0,0.0,16538.54894777872,94.0,0.0,39.42417236913349,0.25
2.0,97.0,80.48234712629637,335859.0,92.0,0.0,16393.150218272527,96.0,0.0,78.84695628687501,0.25
3.0,99.0,154.60517580561003,335859.0,92.0,0.0,16269.006861063512,100.0,0.0,151.75365457029656,0.25
4.0,101.0,228.99007620197793,335859.0,92.0,0.0,16142.707735495922,104.0,0.0,224.65942721929227,0.25
5.0,104.0,283.3160920563736,335859.0,92.0,0.0,16017.568130411077,107.0,0.0,280.8218542340062,0.25
6.0,107.0,305.38095668062533,335859.0,92.0,0.0,15847.674208144823,108.0,0.0,303.4980527972974,0.25
7.0,110.0,380.55102348962447,335859.0,92.0,0.0,15680.947717518487,112.0,0.0,376.40012290916604,0.25
8.0,112.0,438.2438268430255,335859.0,92.0,0.0,15513.242097869266,115.0,0.0,432.55838456961203,0.25
9.0,114.0,475.88683433477377,335859.0,92.0,0.0,15417.652642260538,117.0,0.0,471.97330059577615,0.2
10.0,116.0,496.62697456187664,335859.0,92.0,0.0,15318.99718947611,118.0,0.0,494.6448709876585,0.2
11.0,119.0,534.9414941455304,335859.0,92.0,0.0,15223.550132750303,120.0,0.0,534.0579357455371,0.2
12.0,122.0,572.8305509695555,335859.0,92.0,0.0,15070.435366710914,122.0,0.0,573.4696120524428,0.2
13.0,125.0,613.1369857750683,335859.0,92.0,0.0,14915.380703125049,124.0,0.0,612.8798999079257,0.2
14.0,127.0,670.2558732157006,335859.0,92.0,0.0,14762.411704953878,127.0,0.0,669.0312193119858,0.2
15.0,129.0,727.3345952235763,335859.0,92.0,0.0,14630.795092216265,130.0,0.0,725.1816130817639,0.2
16.0,131.0,769.3358479915182,335859.0,92.0,0.0,14497.09824917926,132.0,0.0,764.5886612172602,0.2
17.0,134.0,793.6862804559448,335859.0,92.0,0.0,14365.54553983267,133.0,0.0,787.2523637184747,0.2
18.0,137.0,834.2554592633028,335859.0,92.0,0.0,14184.771582733814,135.0,0.0,826.6570977682663,0.2
19.0,140.0,856.530158219765,335859.0,92.0,0.0,14008.6135314822,136.0,0.0,849.3180233666352,0.2
20.0,142.0,860.0204339114327,335859.0,92.0,0.0,13830.255104435579,136.0,0.0,855.2351405135813,0.2
21.0,144.0,882.8316523369494,335859.0,92.0,0.0,13727.31672013145,137.0,0.0,877.8937520262455,0.2
22.0,146.0,886.3369654106257,335859.0,92.0,0.0,13620.937084278963,137.0,0.0,883.8090179046278,0.2
