"tick","numAdopt","deviance","remainBgt","captured","seeded","systemCost","realAdopt","IctSerNo","nullDev","rate"
0.0,0.0,0.0,335859.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,20.605211944931952,335859.0,0.0,0.0,22542.422934076167,1.0,1.0,22.72433154609165,1.0
2.0,2.0,22.11170787969833,335859.0,0.0,0.0,22494.679408806,1.0,1.0,28.70578027503183,1.0
3.0,3.0,23.634215906136482,335859.0,0.0,0.0,22446.92772016707,1.0,1.0,34.68676618685174,1.0
4.0,4.0,25.643332470240967,335859.0,0.0,0.0,22397.06044423805,1.0,1.0,40.66728928155604,1.0
5.0,5.0,27.631281510728908,335859.0,0.0,0.0,22333.38645510836,1.0,1.0,46.647349559119434,1.0
6.0,6.0,50.06090189196528,335859.0,0.0,0.0,22268.64470934281,2.0,1.0,69.36936701954193,1.0
7.0,7.0,51.17146685390477,335859.0,0.0,0.0,22204.969035454316,2.0,1.0,75.34850166282352,0.96
8.0,8.0,73.63624919545943,335859.0,0.0,0.0,22168.609274599345,3.0,1.0,98.06959348896422,0.96
9.0,9.0,96.08667916386716,335859.0,0.0,0.0,22092.169557138506,4.0,1.0,120.79022249796401,0.96
10.0,11.0,117.11407589808096,335859.0,0.0,0.0,22014.49930308191,5.0,1.0,143.510388689821,0.96
11.0,13.0,120.9291791603521,335859.0,0.0,0.0,21892.458023543924,5.0,1.0,149.4872092472146,0.96
12.0,15.0,124.73905716840693,335859.0,0.0,0.0,21770.4089078235,5.0,1.0,155.4631041703264,0.96
13.0,17.0,164.96915398617233,335859.0,0.0,0.0,21646.986674930245,7.0,1.0,194.92291345915646,0.92
14.0,19.0,185.83274561918367,335859.0,0.0,0.0,21541.93778087705,8.0,1.0,217.63937711370474,0.92
15.0,21.0,189.20509588145168,335859.0,0.0,0.0,21434.77503099814,8.0,1.0,223.61249513397124,0.92
16.0,23.0,227.5377831146705,335859.0,0.0,0.0,21326.530770423276,10.0,1.0,263.069527519956,0.92
17.0,25.0,267.7458015486927,335859.0,0.0,0.0,21184.18682170545,12.0,1.0,302.52563427165893,0.92
18.0,27.0,289.11433320423885,335859.0,0.0,0.0,21041.95952860915,13.0,1.0,325.2383953890801,0.92
19.0,28.0,311.57873583261704,335859.0,0.0,0.0,20899.672637047446,14.0,1.0,347.9502308722195,0.88
20.0,29.0,314.2886672752138,335859.0,0.0,0.0,20819.001395781692,14.0,1.0,353.919183538218,0.88
21.0,30.0,316.9615816545227,335859.0,0.0,0.0,20731.648235750363,14.0,1.0,359.88767338707567,0.88
22.0,32.0,357.14512042861753,335859.0,0.0,0.0,20645.605289692237,16.0,1.0,399.3405404187924,0.88
23.0,34.0,380.3653058577545,335859.0,0.0,0.0,20509.63462881078,17.0,1.0,422.0500618162274,0.88
24.0,36.0,403.5185846223879,335859.0,0.0,0.0,20371.65420125683,18.0,1.0,444.75865757938067,0.88
25.0,38.0,482.1655316391037,335859.0,0.0,0.0,20233.673624582934,22.0,1.0,517.6935877082587,0.88
26.0,40.0,503.2055096073066,335859.0,0.0,0.0,20114.824835079497,23.0,1.0,540.4003322035809,0.85
