"tick","numAdopt","deviance","remainBgt","captured","seeded","systemCost","realAdopt","IctSerNo","nullDev","rate"
0.0,0.0,0.0,335859.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
1.0,1.0,20.59790919656888,335859.0,0.0,0.0,22542.435701021353,1.0,0.0,22.72433154609165,2.5
2.0,2.0,22.13314340441417,335859.0,0.0,0.0,22493.507931594806,1.0,0.0,28.70578027503183,2.5
3.0,3.0,23.681582417226053,335859.0,0.0,0.0,22444.701826342745,1.0,0.0,34.68676618685174,2.5
4.0,4.0,25.72111592181158,335859.0,0.0,0.0,22394.71287052089,1.0,0.0,40.66728928155604,2.5
5.0,5.0,27.734482844373307,335859.0,0.0,0.0,22328.781346749267,1.0,0.0,46.647349559119434,2.5
6.0,6.0,50.179621693191685,335859.0,0.0,0.0,22263.917098846665,2.0,0.0,69.36936701954193,2.5
7.0,7.0,51.307739584512085,335859.0,0.0,0.0,22199.187180677927,2.0,0.0,75.34850166282352,2.2
8.0,8.0,73.77150036003817,335859.0,0.0,0.0,22163.127119300214,3.0,0.0,98.06959348896422,2.2
9.0,9.0,96.21669547479046,335859.0,0.0,0.0,22084.57432641681,4.0,0.0,120.79022249796401,2.2
10.0,11.0,117.28221414491942,335859.0,0.0,0.0,22006.086805017632,5.0,0.0,143.510388689821,2.2
11.0,13.0,121.15271342625577,335859.0,0.0,0.0,21881.8051425031,5.0,0.0,149.4872092472146,2.2
12.0,15.0,124.99485166675488,335859.0,0.0,0.0,21757.636793183407,5.0,0.0,155.4631041703264,1.9
13.0,17.0,165.18641349426636,335859.0,0.0,0.0,21634.39889990703,7.0,0.0,194.92291345915646,1.9
14.0,19.0,186.07713448615436,335859.0,0.0,0.0,21527.22911823961,8.0,0.0,217.63937711370474,1.9
15.0,21.0,189.49390049230007,335859.0,0.0,0.0,21417.81749845011,8.0,0.0,223.61249513397124,1.9
16.0,23.0,227.81663101202003,335859.0,0.0,0.0,21308.51255619285,10.0,0.0,263.069527519956,1.9
