"tick","numAdopt","deviance","remainBgt","captured","seeded","systemCost","realAdopt","IctSerNo","nullDev","rate"
0.0,92.0,0.0,335859.0,92.0,0.0,0.0,92.0,0.0,0.0,2.5
1.0,95.0,40.25479512175433,335859.0,92.0,0.0,16538.025876851236,94.0,0.0,39.42417236913349,0.25
2.0,97.0,80.47482291596594,335859.0,92.0,0.0,16392.509354536996,96.0,0.0,78.84695628687501,0.25
3.0,99.0,154.5856014533143,335859.0,92.0,0.0,16268.330032745986,100.0,0.0,151.7536545702965,0.25
4.0,101.0,228.9650897269031,335859.0,92.0,0.0,16141.484092326882,104.0,0.0,224.6594272192922,0.25
5.0,104.0,283.27986559640703,335859.0,92.0,0.0,16015.999922003013,107.0,0.0,280.82185423400614,0.25
6.0,107.0,305.34886194722407,335859.0,92.0,0.0,15846.096738960836,108.0,0.0,303.4980527972974,0.25
7.0,110.0,380.53050513059316,335859.0,92.0,0.0,15679.525868123314,112.0,0.0,376.40012290916616,0.25
8.0,112.0,438.21683335397495,335859.0,92.0,0.0,15511.826348240033,115.0,0.0,432.5583845696121,0.25
9.0,114.0,475.8621927782294,335859.0,92.0,0.0,15416.33229256109,117.0,0.0,471.9733005957762,0.2
10.0,116.0,496.607730174452,335859.0,92.0,0.0,15317.671949410525,118.0,0.0,494.64487098765863,0.2
11.0,119.0,534.8600960927168,335859.0,92.0,0.0,15221.21817897861,120.0,0.0,534.0579357455373,0.2
12.0,122.0,572.7520101919505,335859.0,92.0,0.0,15068.00976333674,122.0,0.0,573.469612052443,0.2
13.0,125.0,613.0340697388259,335859.0,92.0,0.0,14914.13906249997,124.0,0.0,612.879899907926,0.2
14.0,127.0,670.1344502727433,335859.0,92.0,0.0,14760.22409751522,127.0,0.0,669.031219311986,0.2
15.0,129.0,727.2026646648906,335859.0,92.0,0.0,14629.68005626758,130.0,0.0,725.1816130817641,0.2
16.0,131.0,769.1621045785618,335859.0,92.0,0.0,14494.929889010606,132.0,0.0,764.5886612172604,0.2
17.0,134.0,793.4877572991923,335859.0,92.0,0.0,14362.181142991196,133.0,0.0,787.252363718475,0.2
18.0,137.0,834.0299331529909,335859.0,92.0,0.0,14180.282999687166,135.0,0.0,826.6570977682666,0.2
19.0,140.0,856.3097711192701,335859.0,92.0,0.0,14003.976065701978,136.0,0.0,849.3180233666354,0.2
