"tick","numAdopt","deviance","remainBgt","captured","seeded","systemCost","realAdopt","IctSerNo","nullDev","rate"
0.0,92.0,0.0,335859.0,92.0,0.0,0.0,92.0,0.0,0.0,2.5
1.0,94.0,40.25479512175433,335859.0,92.0,0.0,16538.60704543692,94.0,0.0,39.42417236913349,0.25
2.0,96.0,80.4801753699286,335859.0,92.0,0.0,16393.060020266537,96.0,0.0,78.84741910401591,0.25
3.0,98.0,154.60009095861253,335859.0,92.0,0.0,16268.871209168155,100.0,0.0,151.75458020457833,0.25
4.0,100.0,228.9905987686926,335859.0,92.0,0.0,16142.571072124736,104.0,0.0,224.66081567071492,0.25
5.0,103.0,283.2942270622166,335859.0,92.0,0.0,16018.48923724848,107.0,0.0,280.82370550256974,0.25
6.0,106.0,305.33841550894164,335859.0,92.0,0.0,15848.736562914419,108.0,0.0,303.50036688300185,0.25
7.0,109.0,380.50057871712164,335859.0,92.0,0.0,15684.31710362048,112.0,0.0,376.40289981201136,0.25
8.0,111.0,438.14913161211035,335859.0,92.0,0.0,15516.271421882313,115.0,0.0,432.56162428959817,0.25
9.0,113.0,475.7695932651932,335859.0,92.0,0.0,15419.745863253207,117.0,0.0,471.97700313290323,0.2
10.0,115.0,496.5353196649366,335859.0,92.0,0.0,15321.07728337241,118.0,0.0,494.64903634192655,0.2
11.0,118.0,534.8345356799252,335859.0,92.0,0.0,15224.451940345092,120.0,0.0,534.0625639169461,0.2
12.0,121.0,572.7350437098955,335859.0,92.0,0.0,15072.58130271789,122.0,0.0,573.4747030409928,0.2
13.0,124.0,613.0542934377281,335859.0,92.0,0.0,14918.728146238538,124.0,0.0,612.8854537136167,0.2
14.0,126.0,670.2125848504263,335859.0,92.0,0.0,14765.793186967776,127.0,0.0,669.0372359348177,0.2
15.0,128.0,727.2632816701458,335859.0,92.0,0.0,14635.124873017086,130.0,0.0,725.1880925217367,0.2
16.0,130.0,769.2859538212966,335859.0,92.0,0.0,14501.844548651789,132.0,0.0,764.595603474374,0.2
17.0,133.0,793.6296717870113,335859.0,92.0,0.0,14368.22240462789,133.0,0.0,787.2597687927295,0.2
18.0,136.0,834.1396213139792,335859.0,92.0,0.0,14187.504965204462,135.0,0.0,826.664965659662,0.2
19.0,139.0,856.4144145264027,335859.0,92.0,0.0,14011.047786641644,136.0,0.0,849.3263540751718,0.2
20.0,141.0,859.8881837378487,335859.0,92.0,0.0,13833.775031289093,136.0,0.0,855.2439340392589,0.2
21.0,143.0,882.709619013312,335859.0,92.0,0.0,13731.898763886713,137.0,0.0,877.903008369064,0.2
