"tick","numAdopt","deviance","remainBgt","captured","seeded","systemCost","realAdopt","IctSerNo","nullDev","rate"
0.0,0.0,0.0,1.6121232E7,0.0,0.0,0.0,0.0,0.0,0.0,2.5
1.0,1.0,20.59790919656888,1.6121232E7,0.0,0.0,22542.43260600436,1.0,0.0,22.72433154609165,2.5
2.0,2.0,22.133143350626725,1.6121232E7,0.0,0.0,22493.613711986283,1.0,0.0,28.70578027503183,2.5
3.0,3.0,23.681493230320132,1.6121232E7,0.0,0.0,22444.802352576968,1.0,0.0,34.68676618685174,2.5
4.0,4.0,25.73119932025806,1.6121232E7,1.0,0.0,22394.934989551915,1.0,0.0,40.66728928155604,2.5
5.0,5.0,27.75064841833014,1.6121232E7,1.0,0.0,22329.00526315778,1.0,0.0,46.647349559119434,2.5
6.0,6.0,50.19469531998526,1.6121232E7,1.0,0.0,22264.143354748834,2.0,0.0,69.36936701954193,2.5
7.0,7.0,51.32686197543842,1.6121232E7,1.0,0.0,22198.207849512335,2.0,0.0,75.34850166282352,2.2
8.0,8.0,73.77752276903362,1.6121232E7,1.0,0.0,22161.837733219676,3.0,0.0,98.06959348896422,2.2
9.0,9.0,96.21953639443728,1.6121232E7,1.0,0.0,22083.295292660267,4.0,0.0,120.79022249796401,2.2
10.0,11.0,117.28387857428666,1.6121232E7,1.0,0.0,22004.810515719295,5.0,0.0,143.510388689821,2.2
11.0,13.0,121.1367860839734,1.6121232E7,1.0,0.0,21881.707481412734,5.0,0.0,149.4872092472146,2.2
12.0,15.0,124.96924533952955,1.6121232E7,1.0,0.0,21757.536096049604,5.0,0.0,155.4631041703264,1.9
13.0,17.0,165.20087459537942,1.6121232E7,1.0,0.0,21634.417415556174,7.0,0.0,194.92291345915646,1.9
14.0,19.0,186.05302628079994,1.6121232E7,1.0,0.0,21528.17704943434,8.0,0.0,217.63937711370474,1.9
15.0,21.0,189.4777134824042,1.6121232E7,1.0,0.0,21419.946528208424,8.0,0.0,223.61249513397124,1.9
16.0,23.0,227.822718124182,1.6121232E7,1.0,0.0,21309.277708882317,10.0,0.0,263.06952751995595,1.9
17.0,25.0,268.00972281405365,1.6121232E7,1.0,0.0,21163.87674418596,12.0,0.0,302.5256342716589,1.9
18.0,27.0,289.3528754875116,1.6121232E7,1.0,0.0,21020.273763374204,13.0,0.0,325.23839538908004,1.9
19.0,28.0,311.84646300689735,1.6121232E7,1.0,0.0,20876.62029929436,14.0,0.0,347.95023087221944,1.55
20.0,29.0,314.5722429911615,1.6121232E7,1.0,0.0,20794.872518610537,14.0,0.0,353.91918353821796,1.55
21.0,30.0,317.2811648456443,1.6121232E7,1.0,0.0,20706.75773555657,14.0,0.0,359.8876733870756,1.55
22.0,32.0,357.4382597074043,1.6121232E7,1.0,0.0,20619.647793376265,16.0,0.0,399.34054041879233,1.55
23.0,34.0,380.67079361169107,1.6121232E7,1.0,0.0,20481.669149018668,17.0,0.0,422.05006181622736,1.55
24.0,36.0,403.8204446291475,1.6121232E7,1.0,0.0,20343.684847544293,18.0,0.0,444.7586575793806,1.55
25.0,38.0,482.4345816041096,1.6121232E7,1.0,0.0,20204.520757352406,22.0,0.0,517.6935877082586,1.55
26.0,40.0,503.51241787047985,1.6121232E7,1.0,0.0,20084.485137757012,23.0,0.0,540.4003322035808,1.1
27.0,42.0,561.048056573133,1.6121232E7,2.0,0.0,19962.43832958155,26.0,0.0,596.5909910646209,1.1
28.0,44.0,634.7958472459629,1.6121232E7,2.0,0.0,19838.278472168357,30.0,0.0,669.523144291379,1.1
29.0,46.0,689.3853986429385,1.6121232E7,2.0,0.0,19675.7360043481,33.0,0.0,725.7119518838554,1.1
30.0,49.0,748.3005430753586,1.6121232E7,2.0,0.0,19517.207284871118,36.0,0.0,781.8998338420498,1.1
31.0,50.0,768.6716372400923,1.6121232E7,2.0,0.0,19355.804349514572,37.0,0.0,804.6014873488216,1.1
32.0,51.0,807.1898553382534,1.6121232E7,2.0,0.0,19264.494718036378,39.0,0.0,844.0450980384524,1.1
33.0,52.0,847.5156717162977,1.6121232E7,2.0,0.0,19171.079235609424,41.0,0.0,883.4882459109422,1.1
34.0,54.0,919.6838299861696,1.6121232E7,2.0,0.0,19079.84080491034,45.0,0.0,956.4157709662909,0.65
35.0,56.0,993.7316387560523,1.6121232E7,2.0,0.0,18935.489626233506,49.0,0.0,1029.3423703873577,0.65
