"tick","numAdopt","deviance","remainBgt","captured","seeded","systemCost","realAdopt","IctSerNo","nullDev","rate"
0.0,72.0,0.0,335859.0,72.0,0.0,0.0,72.0,0.0,0.0,2.5
1.0,74.0,23.374303526061652,335859.0,72.0,0.0,17549.25492179592,73.0,0.0,22.691008711947138,0.35
2.0,76.0,114.84915835603593,335859.0,72.0,0.0,17410.208654370024,78.0,0.0,112.35077178960212,0.35
3.0,78.0,192.98295377741965,335859.0,72.0,0.0,17289.22588931267,82.0,0.0,185.26718923301993,0.35
4.0,80.0,250.22486838244672,335859.0,72.0,0.0,17166.116776955958,85.0,0.0,241.44026104197422,0.35
5.0,83.0,272.27734243071825,335859.0,72.0,0.0,17042.017520635407,86.0,0.0,264.1275672166467,0.35
6.0,86.0,294.13077396291897,335859.0,72.0,0.0,16878.589142456614,87.0,0.0,286.8134849398965,0.35
7.0,89.0,367.6441183409268,335859.0,72.0,0.0,16719.42349641629,91.0,0.0,359.72527421172373,0.35
8.0,91.0,443.2072847952715,335859.0,72.0,0.0,16557.941405641235,95.0,0.0,432.63567503212823,0.25
9.0,93.0,480.9353450644143,335859.0,72.0,0.0,16466.71056733164,97.0,0.0,472.06031021825095,0.25
10.0,95.0,521.0550957688932,335859.0,72.0,0.0,16373.349259547953,99.0,0.0,511.4840197700919,0.25
11.0,97.0,579.9555587830579,335859.0,72.0,0.0,16281.990333645135,102.0,0.0,567.6492236883169,0.25
12.0,100.0,638.8413013224811,335859.0,72.0,0.0,16134.510253411316,105.0,0.0,623.8135019723233,0.25
13.0,103.0,677.2056218799295,335859.0,73.0,0.0,15986.929808142178,107.0,0.0,663.2339718049069,0.25
14.0,105.0,732.5739813578207,335859.0,73.0,0.0,15839.383385335423,110.0,0.0,719.3954731860676,0.25
15.0,107.0,787.6580918045415,335859.0,73.0,0.0,15710.975893275108,113.0,0.0,775.5560489329465,0.25
16.0,109.0,861.7080114481518,335859.0,73.0,0.0,15580.430789637901,117.0,0.0,848.4581190455434,0.25
17.0,112.0,886.0281475712947,335859.0,73.0,0.0,15447.83274799028,118.0,0.0,871.1320035238587,0.25
18.0,115.0,993.8390500095473,335859.0,73.0,0.0,15272.429274004684,124.0,0.0,977.5165995507507,0.25
19.0,118.0,1119.4629311730132,335859.0,73.0,0.0,15098.387912860107,131.0,0.0,1100.6422271262204,0.2
20.0,120.0,1213.7227180241186,335859.0,73.0,0.0,14924.28613822735,136.0,0.0,1190.2816262502674,0.2
21.0,122.0,1271.3680479036202,335859.0,73.0,0.0,14823.48230883383,139.0,0.0,1246.4352597400325,0.2
22.0,124.0,1274.7654915919377,335859.0,73.0,0.0,14722.688539957846,139.0,0.0,1252.3607075955156,0.2
