"tick","numAdopt","deviance","remainBgt","captured","seeded","systemCost","realAdopt","IctSerNo","nullDev","rate"
0.0,72.0,0.0,335859.0,72.0,0.0,0.0,72.0,0.0,0.0,2.5
1.0,74.0,23.374303526061652,335859.0,72.0,0.0,17549.252665162174,73.0,0.0,22.691008711947138,0.35
2.0,76.0,114.85729889365743,335859.0,72.0,0.0,17410.08335279011,78.0,0.0,112.35077178960212,0.35
3.0,78.0,192.9976993978725,335859.0,72.0,0.0,17289.099400638403,82.0,0.0,185.26718923301993,0.35
4.0,80.0,250.26645352340827,335859.0,72.0,0.0,17165.993694044406,85.0,0.0,241.44026104197422,0.35
5.0,83.0,272.3181380407589,335859.0,72.0,0.0,17042.950397134333,86.0,0.0,264.1275672166467,0.35
6.0,86.0,294.1820886465481,335859.0,72.0,0.0,16879.536412493133,87.0,0.0,286.8134849398965,0.35
7.0,89.0,367.67411199058824,335859.0,72.0,0.0,16719.331801184086,91.0,0.0,359.72527421172373,0.35
8.0,91.0,443.1760255553756,335859.0,72.0,0.0,16556.7936730559,95.0,0.0,432.63567503212823,0.25
9.0,93.0,480.85346210441435,335859.0,72.0,0.0,16464.498675187024,97.0,0.0,472.06031021825095,0.25
10.0,95.0,520.9590411498602,335859.0,72.0,0.0,16371.010054559649,99.0,0.0,511.4840197700919,0.25
11.0,97.0,579.8166126830304,335859.0,72.0,0.0,16278.717570938576,102.0,0.0,567.6492236883169,0.25
12.0,99.0,638.6723890260869,335859.0,72.0,0.0,16131.168953687853,105.0,0.0,623.8135019723233,0.25
13.0,101.0,677.0440112350901,335859.0,72.0,0.0,15982.57712102309,107.0,0.0,663.2344346220478,0.25
14.0,103.0,732.3932527051658,335859.0,72.0,0.0,15835.036109811268,110.0,0.0,719.3968616374905,0.25
15.0,105.0,787.5571473979403,335859.0,72.0,0.0,15706.621060842443,113.0,0.0,775.5583630186512,0.25
16.0,107.0,861.5697089149938,335859.0,72.0,0.0,15577.15400218446,117.0,0.0,848.46135876553,0.25
17.0,110.0,885.8442843524276,335859.0,72.0,0.0,15444.300975419523,118.0,0.0,871.1361688781271,0.25
18.0,113.0,993.7453000281874,335859.0,72.0,0.0,15270.148220418361,124.0,0.0,977.5216905393011,0.25
19.0,116.0,1119.5617375942245,335859.0,72.0,0.0,15098.231009446583,131.0,0.0,1100.6482437490527,0.2
20.0,118.0,1213.9090491664344,335859.0,72.0,0.0,14924.891934098518,136.0,0.0,1190.2885685073816,0.2
21.0,120.0,1271.5832421575874,335859.0,72.0,0.0,14825.041155798555,139.0,0.0,1246.4431276314285,0.2
22.0,122.0,1274.9531970993703,335859.0,72.0,0.0,14725.304303678795,139.0,0.0,1252.3695011211935,0.2
