"run","tick","numAdopt","deviance","remainBgt","captured","seeded","systemCost","realAdopt","IctSerNo","nullDev","rate"
1,0.0,72.0,0.0,335859.0,72.0,0.0,0.0,72.0,0.0,0.0,2.5
1,1.0,74.0,23.374303526061652,335859.0,72.0,0.0,17548.82802894716,73.0,0.0,22.691008711947138,0.35
1,2.0,76.0,114.85745578688719,335859.0,72.0,0.0,17409.659584403453,78.0,0.0,112.35077178960212,0.35
1,3.0,78.0,193.00372071406963,335859.0,72.0,0.0,17288.68397291199,82.0,0.0,185.26718923301993,0.35
1,4.0,80.0,250.26906068320898,335859.0,72.0,0.0,17166.632931101703,85.0,0.0,241.44026104197422,0.35
1,5.0,83.0,272.3641353618899,335859.0,72.0,0.0,17042.226911695998,86.0,0.0,264.1275672166467,0.35
1,6.0,86.0,294.25926193167663,335859.0,72.0,0.0,16877.625048679765,87.0,0.0,286.8134849398965,0.35
1,7.0,89.0,367.775638227409,335859.0,72.0,0.0,16715.274696167122,91.0,0.0,359.72527421172373,0.35
1,8.0,91.0,443.3098998658048,335859.0,72.0,0.0,16552.546127473877,95.0,0.0,432.63567503212823,0.25
1,9.0,93.0,480.99633860789385,335859.0,72.0,0.0,16459.951839152094,97.0,0.0,472.06031021825095,0.25
1,10.0,95.0,521.0660923781626,335859.0,72.0,0.0,16366.584411535463,99.0,0.0,511.4840197700919,0.25
1,11.0,97.0,579.9384345382933,335859.0,72.0,0.0,16274.28921110068,102.0,0.0,567.6492236883169,0.25
1,12.0,99.0,638.7935964115259,335859.0,72.0,0.0,16127.811242788113,105.0,0.0,623.8135019723233,0.25
1,13.0,102.0,677.1725078089785,335859.0,72.0,0.0,15979.26943772911,107.0,0.0,663.2344346220478,0.25
1,14.0,104.0,732.4731555133208,335859.0,72.0,0.0,15830.5441853209,110.0,0.0,719.3963988203495,0.25
1,15.0,106.0,787.5897979736077,335859.0,72.0,0.0,15702.123098525617,113.0,0.0,775.5574373843693,0.25
1,16.0,108.0,861.5397666130758,335859.0,72.0,0.0,15571.581181243684,117.0,0.0,848.4599703141072,0.25
1,17.0,111.0,885.865576563573,335859.0,72.0,0.0,15438.678944903995,118.0,0.0,871.1343176095634,0.25
1,18.0,114.0,993.7096233846977,335859.0,72.0,0.0,15261.14425103425,124.0,0.0,977.5193764535964,0.25
1,19.0,117.0,1119.6073629038985,335859.0,72.0,0.0,15088.165990006213,131.0,0.0,1100.645466846207,0.2
1,20.0,119.0,1214.0557383697935,335859.0,72.0,0.0,14915.127049820392,136.0,0.0,1190.285328787395,0.2
1,21.0,121.0,1271.7209080481637,335859.0,72.0,0.0,14816.14354889098,139.0,0.0,1246.439425094301,0.2
1,22.0,123.0,1275.087259820306,335859.0,72.0,0.0,14716.115606936342,139.0,0.0,1252.365335766925,0.2
2,0.0,72.0,0.0,335859.0,72.0,0.0,0.0,72.0,0.0,0.0,2.5
2,1.0,74.0,23.374303526061652,335859.0,72.0,0.0,17549.258968173675,73.0,0.0,22.691008711947138,0.35
2,2.0,76.0,114.85731154448257,335859.0,72.0,0.0,17410.214880535394,78.0,0.0,112.35077178960212,0.35
2,3.0,78.0,193.00322562753814,335859.0,72.0,0.0,17289.240912275178,82.0,0.0,185.26718923301993,0.35
2,4.0,80.0,250.27007995046205,335859.0,72.0,0.0,17167.195640326994,85.0,0.0,241.44026104197422,0.35
2,5.0,83.0,272.3295349237938,335859.0,72.0,0.0,17043.09881638378,86.0,0.0,264.1275672166467,0.35
