"tick","numAdopt","deviance","remainBgt","captured","seeded","systemCost","realAdopt","IctSerNo","nullDev","rate"
0.0,72.0,0.0,335859.0,72.0,0.0,0.0,72.0,0.0,0.0,2.5
1.0,75.0,22.044571800978893,335859.0,72.0,0.0,25188.806070038678,73.0,0.0,22.691008711947138,0.35
2.0,77.0,111.42721008321112,335859.0,72.0,0.0,25030.810087173024,78.0,0.0,112.35030897246122,0.35
3.0,79.0,180.06003173172235,335859.0,72.0,0.0,24894.18176864376,82.0,0.0,185.2662635987381,0.35
4.0,82.0,234.81023848488223,335859.0,72.0,0.0,24748.88803239119,85.0,0.0,241.4388725905515,0.35
5.0,86.0,260.3334203793924,335859.0,72.0,0.0,24590.302749435195,86.0,0.0,264.1252531309422,0.35
6.0,89.0,282.04501970220815,335859.0,72.0,0.0,24368.22031785612,87.0,0.0,286.80978240276943,0.35
7.0,92.0,353.2225301366123,335859.0,72.0,0.0,24171.960102859888,91.0,0.0,359.72018322317393,0.25
8.0,94.0,426.95018385438664,335859.0,72.0,0.0,23990.66417270671,95.0,0.0,432.6291955921557,0.25
9.0,96.0,464.66989933962213,335859.0,72.0,0.0,23883.81424896717,97.0,0.0,472.05244232685584,0.25
10.0,98.0,502.31722125342145,335859.0,72.0,0.0,23768.96421610657,99.0,0.0,511.4747634272742,0.25
11.0,101.0,557.4330171739908,335859.0,72.0,0.0,23665.174048658708,102.0,0.0,567.6385788940752,0.25
12.0,104.0,612.0389547657428,335859.0,72.0,0.0,23496.46611028772,105.0,0.0,623.8010059095178,0.25
13.0,107.0,650.1070578881149,335859.0,72.0,0.0,23329.818146356727,107.0,0.0,663.2196244735377,0.25
14.0,109.0,707.495049404852,335859.0,72.0,0.0,23162.74009051196,110.0,0.0,719.3792745861347,0.25
15.0,112.0,761.7468006204439,335859.0,72.0,0.0,23018.23327870129,113.0,0.0,775.5379990644498,0.25
16.0,115.0,832.7166115772477,335859.0,72.0,0.0,22865.716783762866,117.0,0.0,848.437755091342,0.25
17.0,119.0,856.3503619385862,335859.0,72.0,0.0,22698.073168827068,118.0,0.0,871.1088626668115,0.2
18.0,123.0,958.4849268130768,335859.0,72.0,0.0,22462.614513357254,124.0,0.0,977.490218973717,0.2
19.0,126.0,1075.8694650436878,335859.0,72.0,0.0,22253.685600437602,131.0,0.0,1100.6121440120592,0.2
20.0,128.0,1166.2311445828188,335859.0,72.0,0.0,22054.73126514021,136.0,0.0,1190.2478405989787,0.2
21.0,130.0,1225.690007286851,335859.0,72.0,0.0,21937.539898397812,139.0,0.0,1246.3977715516162,0.2
22.0,132.0,1229.5594246687538,335859.0,72.0,0.0,21808.68600015629,139.0,0.0,1252.3195168699717,0.2
