"tick","numAdopt","deviance","remainBgt","captured","seeded","systemCost","realAdopt","IctSerNo","nullDev","rate"
0.0,72.0,0.0,335859.0,72.0,0.0,0.0,72.0,0.0,0.0,2.5
1.0,74.0,23.374303526061652,335859.0,72.0,0.0,17549.25064197341,73.0,0.0,22.691008711947138,0.35
2.0,76.0,114.85728770644056,335859.0,72.0,0.0,17410.20250603159,78.0,0.0,112.35077178960212,0.35
3.0,78.0,192.99790078607586,335859.0,72.0,0.0,17289.227835292255,82.0,0.0,185.26718923301993,0.35
4.0,80.0,250.2668976991164,335859.0,72.0,0.0,17165.996730245293,85.0,0.0,241.44026104197422,0.35
5.0,83.0,272.3172932189104,335859.0,72.0,0.0,17042.53410683701,86.0,0.0,264.1275672166467,0.35
6.0,86.0,294.1895133834123,335859.0,72.0,0.0,16878.809408832367,87.0,0.0,286.8134849398965,0.35
7.0,89.0,367.66579611202263,335859.0,72.0,0.0,16718.470084138396,91.0,0.0,359.72527421172373,0.35
8.0,91.0,443.1884252450269,335859.0,72.0,0.0,16555.931042543216,95.0,0.0,432.63567503212823,0.25
9.0,93.0,480.87200940970683,335859.0,72.0,0.0,16463.63949501244,97.0,0.0,472.06031021825095,0.25
10.0,95.0,520.9854432428289,335859.0,72.0,0.0,16370.153858144973,99.0,0.0,511.4840197700919,0.25
11.0,98.0,579.8698884392971,335859.0,72.0,0.0,16277.796055196028,102.0,0.0,567.6492236883169,0.25
12.0,100.0,638.7419461796756,335859.0,72.0,0.0,16131.196179337196,105.0,0.0,623.8130391551823,0.25
13.0,102.0,677.0726853873003,335859.0,72.0,0.0,15983.666536691884,107.0,0.0,663.233508987766,0.25
14.0,104.0,732.3740390977067,335859.0,72.0,0.0,15835.053661960776,110.0,0.0,719.3954731860676,0.25
15.0,106.0,787.5541985886774,335859.0,72.0,0.0,15706.632732662458,113.0,0.0,775.5565117500875,0.25
16.0,108.0,861.5163742446354,335859.0,72.0,0.0,15577.166341577597,117.0,0.0,848.4590446798253,0.25
17.0,111.0,885.7870906907931,335859.0,72.0,0.0,15444.562119556733,118.0,0.0,871.1333919752815,0.25
18.0,114.0,993.609726420014,335859.0,72.0,0.0,15270.285223635901,124.0,0.0,977.5184508193145,0.25
19.0,117.0,1119.397629263967,335859.0,72.0,0.0,15097.943941286707,131.0,0.0,1100.6445412119251,0.2
20.0,119.0,1213.8501834195526,335859.0,72.0,0.0,14924.587615180393,136.0,0.0,1190.284403153113,0.2
21.0,121.0,1271.5613696388289,335859.0,72.0,0.0,14824.549671977522,139.0,0.0,1246.438499460019,0.2
22.0,123.0,1274.9345367767191,335859.0,72.0,0.0,14724.81143571317,139.0,0.0,1252.3644101326431,0.2
