"tick","numAdopt","deviance","remainBgt","captured","seeded","systemCost","realAdopt","IctSerNo","nullDev","rate"
0.0,72.0,0.0,335859.0,72.0,0.0,0.0,72.0,0.0,0.0,2.5
1.0,74.0,23.374303526061652,335859.0,72.0,0.0,17549.2500972687,73.0,0.0,22.691008711947138,0.35
2.0,76.0,114.85730375364724,335859.0,72.0,0.0,17410.20694217453,78.0,0.0,112.35077178960212,0.35
3.0,78.0,192.99673103258905,335859.0,72.0,0.0,17289.221763836034,82.0,0.0,185.26718923301993,0.35
4.0,80.0,250.2646198021533,335859.0,72.0,0.0,17166.12277150638,85.0,0.0,241.44026104197422,0.35
5.0,83.0,272.3316988036449,335859.0,72.0,0.0,17043.087213829596,86.0,0.0,264.1275672166467,0.35
6.0,86.0,294.20223242787296,335859.0,72.0,0.0,16878.61710413586,87.0,0.0,286.8134849398965,0.35
7.0,89.0,367.72750410307464,335859.0,72.0,0.0,16718.400592084785,91.0,0.0,359.72527421172373,0.35
8.0,91.0,443.2630538195945,335859.0,72.0,0.0,16557.043789933003,95.0,0.0,432.63567503212823,0.25
9.0,93.0,480.963184626773,335859.0,72.0,0.0,16464.503896508748,97.0,0.0,472.06031021825095,0.25
10.0,95.0,521.0475789102463,335859.0,72.0,0.0,16372.206079501182,99.0,0.0,511.4840197700919,0.25
11.0,97.0,579.9638259587086,335859.0,72.0,0.0,16278.84736513873,102.0,0.0,567.6492236883169,0.25
12.0,100.0,638.8181463731158,335859.0,73.0,0.0,16132.00748538006,105.0,0.0,623.8135019723233,0.25
13.0,103.0,677.1572069655498,335859.0,73.0,0.0,15984.543206987932,107.0,0.0,663.2339718049069,0.25
14.0,105.0,732.4549907978376,335859.0,73.0,0.0,15838.061466458657,110.0,0.0,719.3954731860676,0.25
15.0,107.0,787.5763564475847,335859.0,73.0,0.0,15709.648697144663,113.0,0.0,775.5560489329465,0.25
16.0,109.0,861.5114940078028,335859.0,73.0,0.0,15579.114466292156,117.0,0.0,848.4581190455434,0.25
17.0,112.0,885.7982827123806,335859.0,73.0,0.0,15445.440177944225,118.0,0.0,871.1320035238587,0.25
18.0,115.0,993.6482888710883,335859.0,73.0,0.0,15270.355737704816,124.0,0.0,977.5165995507507,0.25
19.0,118.0,1119.3905635783728,335859.0,73.0,0.0,15097.379245725002,131.0,0.0,1100.6422271262204,0.2
20.0,120.0,1213.7790237834145,335859.0,73.0,0.0,14923.283873486906,136.0,0.0,1190.2816262502674,0.2
21.0,122.0,1271.4563992041742,335859.0,73.0,0.0,14823.130516285186,139.0,0.0,1246.4352597400325,0.2
22.0,124.0,1274.8420091763865,335859.0,73.0,0.0,14723.10249199285,139.0,0.0,1252.3607075955156,0.2
