"tick","numAdopt","deviance","remainBgt","captured","seeded","systemCost","realAdopt","IctSerNo","nullDev","rate"
0.0,72.0,0.0,335859.0,72.0,0.0,0.0,72.0,0.0,0.0,2.5
1.0,74.0,23.374303526061652,335859.0,72.0,0.0,17549.128005602644,73.0,0.0,22.691008711947138,0.35
2.0,76.0,114.85755239272731,335859.0,72.0,0.0,17410.082496692354,78.0,0.0,112.35077178960212,0.35
3.0,78.0,193.0037031281748,335859.0,72.0,0.0,17289.099945512487,82.0,0.0,185.26718923301993,0.35
4.0,80.0,250.27079704182273,335859.0,72.0,0.0,17167.054885169404,85.0,0.0,241.44026104197422,0.35
5.0,83.0,272.304953704524,335859.0,72.0,0.0,17042.95623734619,86.0,0.0,264.1275672166467,0.35
6.0,86.0,294.15408738410514,335859.0,72.0,0.0,16880.47402445659,87.0,0.0,286.8134849398965,0.35
7.0,89.0,367.67314133979454,335859.0,72.0,0.0,16720.99898722338,91.0,0.0,359.72527421172373,0.35
8.0,91.0,443.21802973276016,335859.0,72.0,0.0,16558.27357020401,95.0,0.0,432.63567503212823,0.25
9.0,93.0,480.9009437260885,335859.0,72.0,0.0,16465.981530548615,97.0,0.0,472.06031021825095,0.25
10.0,95.0,520.9743202273908,335859.0,72.0,0.0,16372.628448947778,99.0,0.0,511.4840197700919,0.25
11.0,98.0,579.8615039071796,335859.0,72.0,0.0,16280.082950027278,102.0,0.0,567.6492236883169,0.25
12.0,100.0,638.7056508433952,335859.0,72.0,0.0,16133.608966861537,105.0,0.0,623.8130391551823,0.25
13.0,103.0,677.0116819916891,335859.0,72.0,0.0,15984.831071595698,107.0,0.0,663.233508987766,0.25
14.0,105.0,732.3190981948542,335859.0,72.0,0.0,15836.859438377505,110.0,0.0,719.3950103689267,0.25
15.0,107.0,787.4190391938515,335859.0,72.0,0.0,15708.446949602037,113.0,0.0,775.5555861158056,0.25
16.0,109.0,861.3382821011738,335859.0,72.0,0.0,15578.965121722893,117.0,0.0,848.4576562284025,0.25
17.0,112.0,885.6263682270697,335859.0,72.0,0.0,15445.17451026304,118.0,0.0,871.1315407067177,0.25
18.0,115.0,993.4537325441779,335859.0,72.0,0.0,15269.026619828257,124.0,0.0,977.5161367336098,0.25
19.0,118.0,1119.274053744128,335859.0,72.0,0.0,15096.481221207141,131.0,0.0,1100.6417643090795,0.2
20.0,120.0,1213.6496345617813,335859.0,72.0,0.0,14923.437641546308,136.0,0.0,1190.2811634331265,0.2
21.0,122.0,1271.3192731747004,335859.0,72.0,0.0,14823.708974459058,139.0,0.0,1246.4347969228916,0.2
22.0,124.0,1274.699692628404,335859.0,72.0,0.0,14722.923365362056,139.0,0.0,1252.3602447783746,0.2
